category,mean_elasticity,median_elasticity,product_count,std_elasticity,avg_r_squared
furniture_living_room,-0.92448318334882,0.0,15,2.333434777060152,0.19466139166443902
furniture_decor,-0.4331640642862424,0.0,51,2.094298023774049,0.14894542742179157
toys,-0.41356330983661216,0.0,71,1.8751698578157092,0.19597708158715307
computers_accessories,-0.3732614536684874,0.0,97,1.5350309411195309,0.11870451092591693
small_appliances,-0.34903812178155497,0.0,15,1.9094460945846825,0.24002511978757501
perfumery,-0.34676001185804517,0.0,57,1.3673913682681622,0.10165506980824958
electronics,-0.32999284132643836,0.0,36,1.5107240873098657,0.11449304852894669
sports_leisure,-0.2757398509037026,0.0,109,1.6490767580029042,0.1587401906275168
consoles_games,-0.25787580090355944,0.0,23,1.1855874478603554,0.1679481310791717
cool_stuff,-0.24223641038322896,0.0,51,1.1332974164140273,0.09675562163137047
garden_tools,-0.2418407196360748,0.0,26,0.738202381649902,0.09679623234315833
auto,-0.23099484206842777,0.0,25,1.3122781611612475,0.106324605210761
watches_gifts,-0.22762112996463876,0.0,90,0.9171684086410352,0.12804265322738398
bed_bath_table,-0.17462814784407477,0.0,112,1.8924542837049512,0.17767152225970895
baby,-0.06481673377986358,0.0,44,0.6772044216602309,0.14428446681326132
housewares,-0.04519544835604499,0.0,78,2.5058206873302673,0.1518223271464872
health_beauty,-0.039161966887090706,0.0,120,1.4090526762666002,0.11124402980887066
office_furniture,0.06638756617519627,0.0,49,1.948971402730971,0.1144190315215909
telephony,0.14572588464301642,0.0,68,1.3610735234780247,0.14149570657314026
fashion_bags_accessories,0.14978064098041133,0.0,13,0.518238197771518,0.05884522784103633
stationery,0.16055917644868856,0.0,37,0.7507390186742673,0.08541978703506783
luggage_accessories,0.2967743351602274,0.0,14,1.6319598040873908,0.11124514504827804
musical_instruments,0.41121978445494517,0.0,12,0.9066092817051654,0.2904593596769929
pet_shop,0.9446136111730891,0.0,22,2.5866766978017557,0.10142781751781776
